Keyword,Title,URL,Abstract,Affiliations,Keywords,Publication Date
oncology,"Associations Between Stress, Health Behaviors, and Quality of Life in Young Couples During the Transition to Survivorship: Protocol for a Measurement Burst Study.",https://pubmed.ncbi.nlm.nih.gov/38652520,"Background:
        
      
      Cancer is a life-threatening, stressful event, particularly for young adults due to delays and disruptions in their developmental transitions. Cancer treatment can also cause adverse long-term effects, chronic conditions, psychological issues, and decreased quality of life (QoL) among young adults. Despite numerous health benefits of health behaviors (eg, physical activity, healthy eating, no smoking, no alcohol use, and quality sleep), young adult cancer survivors report poor health behavior profiles. Determining the associations of stress (either cancer-specific or day-to-day stress), health behaviors, and QoL as young adult survivors transition to survivorship is key to understanding and enhancing these survivors' health. It is also crucial to note that the effects of stress on health behaviors and QoL may manifest on a shorter time scale (eg, daily within-person level). Moreover, given that stress spills over into romantic relationships, it is important to identify the role of spouses or partners (hereafter partners) in these survivors' health behaviors and QoL.
    


          Objective:
        
      
      This study aims to investigate associations between stress, health behaviors, and QoL at both within- and between-person levels during the transition to survivorship in young adult cancer survivors and their partners, to identify the extent to which young adult survivors' and their partners' stress facilitates or hinders their own and each other's health behaviors and QoL.
    


          Methods:
        
      
      We aim to enroll 150 young adults (aged 25-39 years at the time of cancer diagnosis) who have recently completed cancer treatment, along with their partners. We will conduct a prospective longitudinal study using a measurement burst design. Participants (ie, survivors and their partners) will complete a daily web-based survey for 7 consecutive days (a ""burst"") 9 times over 2 years, with the bursts spaced 3 months apart. Participants will self-report their stress, health behaviors, and QoL. Additionally, participants will be asked to wear an accelerometer to assess their physical activity and sleep during the burst period. Finally, dietary intake (24-hour diet recalls) will be assessed during each burst via telephone by research staff.
    


          Results:
        
      
      Participant enrollment began in January 2022. Recruitment and data collection are expected to conclude by December 2024 and December 2026, respectively.
    


          Conclusions:
        
      
      To the best of our knowledge, this will be the first study that determines the interdependence of health behaviors and QoL of young adult cancer survivors and their partners at both within- and between-person levels. This study is unique in its focus on the transition to cancer survivorship and its use of a measurement burst design. Results will guide the creation of a developmentally appropriate dyadic psychosocial or behavioral intervention that improves both young adult survivors' and their partners' health behaviors and QoL and potentially their physical health.
    


          International registered report identifier (irrid):
        
      
      DERR1-10.2196/53307.","Affiliations
          

1 Department of Health Disparities Research, The University of Texas MD Anderson Cancer Center, Houston, TX, United States.
2 Department of Pediatrics, The University of Texas MD Anderson Cancer Center, Houston, TX, United States.
3 Department of Behavioral Science, The University of Texas MD Anderson Cancer Center, Houston, TX, United States.
4 Department of Biostatistics, The University of Texas MD Anderson Cancer Center, Houston, TX, United States.
5 The Center for Clinical Research and Evidence-Based Medicine, The University of Texas McGovern Medical School, Houston, TX, United States.
6 Department of Neuro-Oncology, The University of Texas MD Anderson Cancer Center, Houston, TX, United States.
7 Department of Lymphoma-Myeloma, The University of Texas MD Anderson Cancer Center, Houston, TX, United States.
8 Department of Sarcoma Medical Oncology, The University of Texas MD Anderson Cancer Center, Houston, TX, United States.
9 Department of Breast Medical Oncology, The University of Texas MD Anderson Cancer Center, Houston, TX, United States.
10 Department of Colon & Rectal Surgery, The University of Texas MD Anderson Cancer Center, Houston, TX, United States.; Affiliations
          

1 Department of Health Disparities Research, The University of Texas MD Anderson Cancer Center, Houston, TX, United States.
2 Department of Pediatrics, The University of Texas MD Anderson Cancer Center, Houston, TX, United States.
3 Department of Behavioral Science, The University of Texas MD Anderson Cancer Center, Houston, TX, United States.
4 Department of Biostatistics, The University of Texas MD Anderson Cancer Center, Houston, TX, United States.
5 The Center for Clinical Research and Evidence-Based Medicine, The University of Texas McGovern Medical School, Houston, TX, United States.
6 Department of Neuro-Oncology, The University of Texas MD Anderson Cancer Center, Houston, TX, United States.
7 Department of Lymphoma-Myeloma, The University of Texas MD Anderson Cancer Center, Houston, TX, United States.
8 Department of Sarcoma Medical Oncology, The University of Texas MD Anderson Cancer Center, Houston, TX, United States.
9 Department of Breast Medical Oncology, The University of Texas MD Anderson Cancer Center, Houston, TX, United States.
10 Department of Colon & Rectal Surgery, The University of Texas MD Anderson Cancer Center, Houston, TX, United States.",,2024 Apr 23:13:e53307.
oncology,Is a low dose of dexamethasone sufficient to prevent paclitaxel-related hypersensitivity reactions? A retrospective study in patients with gynecologic malignancy.,https://pubmed.ncbi.nlm.nih.gov/38652518,"Background:
        
      
      Paclitaxel hypersensitivity reactions (HSRs) are prevalent, especially in females. The common paclitaxel pretreatment, dexamethasone, may inhibit chemotherapy efficacy and accelerate tumor progression. We aimed to balance paclitaxel HSRs and the lowest dexamethasone dose for gynecologic malignancies.
    


          Methods:
        
      
      We retrospectively examined 1,074 cycles of 3-weekly paclitaxel-containing treatment for 231 gynecologic malignancies at Xiangya Hospital. HSR incidence with different dexamethasone regimens was the primary outcome. Risk factors were examined in all cycles using univariate and multivariate models with generalized estimating equations. A subgroup analysis of initial exposure to paclitaxel was also conducted.
    


          Results:
        
      
      HSR occurred in 33 patients (14.29%) and 49 cycles (4.56%), including 69.39% in cycles 1-2. There were no severe HSRs (grade ≥3). Different premedication regimens, including dexamethasone dosage and route, ranitidine presence or absence, didn't affect HSR incidence in univariate and multivariate analyzes (p > 0.05). Premenopausal women exerted fewer HSRs (ORadj 0.22, 95%CI 0.08-0.58; p = 0.002). At the first exposure to paclitaxel, more than 10 mg of dexamethasone didn't diminish HSRs (OR 0.83, 95%CI 0.27-2.59; p = 0.753).
    


          Conclusions:
        
      
      In gynecologic malignancies, 10 mg dexamethasone along with 20 mg diphenhydramine may be adequate to prevent paclitaxel HSRs without ranitidine. It is necessary to reevaluate paclitaxel premedication regimens.","Affiliations
          

1 Department of Pharmacy, Xiangya Hospital, Central South University, Changsha, Hunan, China.
2 National Clinical Research Center for Geriatric Disorders, Xiangya Hospital, Central South University, Changsha, Hunan, China.
3 The Hunan Institute of Pharmacy Practice and Clinical Research, Changsha, Hunan, China.
4 Department of Gynecology, Xiangya Hospital, Central South University, Changsha, Hunan, China.
5 Gynecological Oncology Research and Engineering Center of Hunan Province, Changsha, Hunan, China.; Affiliations
          

1 Department of Pharmacy, Xiangya Hospital, Central South University, Changsha, Hunan, China.
2 National Clinical Research Center for Geriatric Disorders, Xiangya Hospital, Central South University, Changsha, Hunan, China.
3 The Hunan Institute of Pharmacy Practice and Clinical Research, Changsha, Hunan, China.
4 Department of Gynecology, Xiangya Hospital, Central South University, Changsha, Hunan, China.
5 Gynecological Oncology Research and Engineering Center of Hunan Province, Changsha, Hunan, China.",,2024 Apr 23:1-8.
oncology,Navigating the complexity of post-NAT therapy in breast cancer: The role of ctDNA testing.,https://pubmed.ncbi.nlm.nih.gov/38652512,No abstract available,"Affiliations
          

1 Oncology and Medical Specialties Department, Valenciennes General Hospital, Valenciennes, France.
2 Equipe de Recherche en Oncologie Transationelle (EROT), University Mohammed V in Rabat, Rabat, Rabat-Sale-Kenitra, Morocco.
3 Centre d'Investigation Clinique, Centre Hospitalier Universitaire Ibn Sina, Rabat, Morocco.
4 Surgical Oncology Department, National Institute of Oncology, University Mohammed V in Rabat, Rabat, Rabat-Sale-Kenitra, Morocco.; Affiliations
          

1 Oncology and Medical Specialties Department, Valenciennes General Hospital, Valenciennes, France.
2 Equipe de Recherche en Oncologie Transationelle (EROT), University Mohammed V in Rabat, Rabat, Rabat-Sale-Kenitra, Morocco.
3 Centre d'Investigation Clinique, Centre Hospitalier Universitaire Ibn Sina, Rabat, Morocco.
4 Surgical Oncology Department, National Institute of Oncology, University Mohammed V in Rabat, Rabat, Rabat-Sale-Kenitra, Morocco.",,2024 Apr 23.
oncology,CDH1 Genotype Exploration in Women With Hereditary Lobular Breast Cancer Phenotype.,https://pubmed.ncbi.nlm.nih.gov/38652475,"Importance:
        
      
      Pathogenic or likely pathogenic (P/LP) germline CDH1 variants are associated with risk for diffuse gastric cancer and lobular breast cancer (LBC) in the so-called hereditary diffuse gastric cancer (HDGC) syndrome. However, in some circumstances, LBC can be the first manifestation of this syndrome in the absence of diffuse gastric cancer manifestation.
    


          Objectives:
        
      
      To evaluate the frequency of germline CDH1 variants in women with the hereditary LBC (HLBC) phenotype, somatic CDH1 gene inactivation in germline CDH1 variant carriers' tumor samples, and the association of genetic profiles with clinical-pathological data and survival.
    


          Design, setting, and participants:
        
      
      This single-center, longitudinal, prospective cohort study was conducted from January 1, 1997, to December 31, 2021, with follow-up until January 31, 2023. Women with LBC seen at the European Institute of Oncology were included. Testing for germline CDH1, BRCA1, and BRCA2 genes was performed. Somatic profiling was assessed for germline CDH1 carriers.
    


          Main outcomes and measures:
        
      
      Accurate estimates of prevalence of germline CDH1 variants among patients with HLBC and the association of somatic sequence alteration with HLBC syndrome. The Kaplan-Meier method and a multivariable Cox proportional hazards regression model were applied for overall and disease-free survival analysis.
    


          Results:
        
      
      Of 5429 cases of primary LBC, familial LBC phenotype accounted for 1867 (34.4%). A total of 394 women with LBC were tested, among whom 15 germline CDH1 variants in 15 unrelated families were identified. Among these variants, 6 (40.0%) were P/LP, with an overall frequency of 1.5% (6 of 394). Of the 6 probands with P/LP CDH1 LBC, 5 (83.3%) had a positive family history of BC and only 1 (16.7%) had sporadic juvenile early-onset LBC. No germline BRCA1 and BRCA2 variants were identified in CDH1 carriers. An inactivating CDH1 mechanism (second hit) was identified in 4 of 6 explored matched tumor samples (66.7%) in P/LP germline carriers. The P/LP CDH1 LBC variant carriers had a significantly lower age at diagnosis compared with the group carrying CDH1 variants of unknown significance or likely benign (42.5 [IQR, 38.3-43.0] vs 51.0 [IQR, 45.0-53.0] years; P = .03).
    


          Conclusions and relevance:
        
      
      In this cohort study, P/LP germline CDH1 variants were identified in individuals not fulfilling the classic clinical criteria for HDGC screening, suggesting that identification of these variants may provide a novel method to test women with LBC with early age at diagnosis and/or positive family history of BC.","Affiliations
          

1 Division of Breast Surgery, European Institute of Oncology (IEO), Istituto di Ricovero e Cura a Carattere Scientifico (IRCCS), Milan, Italy.
2 Department of Oncology and Hemato-Oncology, University of Milan, Milan, Italy.
3 Clinic Unit of Oncogenomics, IEO, IRCCS, Milan, Italy.
4 Division of Cancer Prevention and Genetics, IEO, IRCCS, Milan, Italy.
5 Instituto de Investigação e Inovação em Saúde, University of Porto, Porto, Portugal.
6 Faculty of Medicine, University of Porto, Porto, Portugal.
7 Institute of Molecular Pathology and Immunology of the University of Porto, Porto, Portugal.
8 Division of Pathology, IEO, IRCCS, Milan, Italy.
9 Data Management, IEO, IRCCS, Milan, Italy.
10 Department of Experimental Oncology, IEO, IRCCS, Milan, Italy.
11 Division of Endoscopy, IEO, IRCCS, Milan, Italy.
12 Division of Breast Imaging, IEO, IRCCS, Milan, Italy.
13 Department of Clinical Sciences and Community Health, Branch of Medical Statistics, Biometry and Epidemiology ""G.A. Maccacaro,"" University of Milan, Milan, Italy.; Affiliations
          

1 Division of Breast Surgery, European Institute of Oncology (IEO), Istituto di Ricovero e Cura a Carattere Scientifico (IRCCS), Milan, Italy.
2 Department of Oncology and Hemato-Oncology, University of Milan, Milan, Italy.
3 Clinic Unit of Oncogenomics, IEO, IRCCS, Milan, Italy.
4 Division of Cancer Prevention and Genetics, IEO, IRCCS, Milan, Italy.
5 Instituto de Investigação e Inovação em Saúde, University of Porto, Porto, Portugal.
6 Faculty of Medicine, University of Porto, Porto, Portugal.
7 Institute of Molecular Pathology and Immunology of the University of Porto, Porto, Portugal.
8 Division of Pathology, IEO, IRCCS, Milan, Italy.
9 Data Management, IEO, IRCCS, Milan, Italy.
10 Department of Experimental Oncology, IEO, IRCCS, Milan, Italy.
11 Division of Endoscopy, IEO, IRCCS, Milan, Italy.
12 Division of Breast Imaging, IEO, IRCCS, Milan, Italy.
13 Department of Clinical Sciences and Community Health, Branch of Medical Statistics, Biometry and Epidemiology ""G.A. Maccacaro,"" University of Milan, Milan, Italy.",,2024 Apr 1;7(4):e247862.
oncology,Telemedicine in geriatric oncology - lessons learned from the COVID-19 experience.,https://pubmed.ncbi.nlm.nih.gov/38652459,"Purpose of review:
        
      
      Telemedicine quickly became integrated into healthcare caused by the Coronavirus 19 (COVID-19) pandemic. Rapid use of telemedicine into healthcare systems was supported by the World Health Organization and other prominent national organizations to reduce transmission of the virus while continuing to provide access to care. In this review, we explored the effect of this swift change in care and its impact on older adults with cancer.
    


          Recent findings:
        
      
      Older adults are susceptible to the COVID-19 virus caused by various risk factors, such as comorbidity, frailty, decreased immunity, and cancer increases vulnerability to infection, hospitalization, and mortality. We found three major themes emerged in the literature published in the past 18 months, including access to care, telemedicine modes of communication, and the use of technology by older adults with cancer. These findings have brought insight into issues regarding healthcare disparities.
    


          Summary:
        
      
      The utilization of telemedicine by older adults with cancer has potential future benefits with the integration of technology preparation prior to the patient's initial visit and addressing known health disparities. The hybrid model of care provides in-person and or remote access to clinicians which may allow older adults with cancer the flexibility needed to obtain quality cancer care.","Affiliation
          

1 City of Hope Center for Cancer and Aging, Duarte, California, USA.; Affiliation
          

1 City of Hope Center for Cancer and Aging, Duarte, California, USA.",,2024 Apr 23.
oncology,Role of mucositis in predicting gut microbiota composition in people with cancer.,https://pubmed.ncbi.nlm.nih.gov/38652454,"Purpose of review:
        
      
      Disruption of the precious ecosystem of micro-organisms that reside in the gut - the gut microbiota - is rapidly emerging as a key driver of adverse side effects/toxicities caused by numerous anti-cancer agents. Although the contribution of the gut microbiota to these toxicities is understood with ever increasing precision, the cause of microbial disruption (dysbiosis) remains poorly understood. Here, we discuss current evidence on the cause(s) of dysbiosis after cancer therapy, positioning breakdown of the intestinal mucosa (mucositis) as a central cause.
    


          Recent findings:
        
      
      Dysbiosis in people with cancer has historically been attributed to extensive antibiotic use. However, evidence now suggests that certain antibiotics have minimal impacts on the microbiota. Indeed, recent evidence shows that the type of cancer therapy used predicts microbiota composition independently of antibiotics. Given most anti-cancer drugs have modest effects on microbes directly, this suggests that their impact on the gut microenvironment, in particular the mucosa, which is highly vulnerable to cytotoxicity, is a likely cause of dysbiosis. Here, we outline evidence that support this hypothesis, and discuss the associated clinical implications/opportunities.
    


          Summary:
        
      
      The concept that mucositis dictates microbiota compositions provides two important implications for clinical practice. Firstly, it reiterates the importance of prioritising the development of novel mucoprotectants that preserve mucosal integrity, and indirectly support microbial stability. Secondly, it provides an opportunity to identify dysbiotic events and associated consequences using readily accessible, minimally invasive biomarkers of mucositis such as plasma citrulline.","Affiliations
          

1 Faculty of Health and Medical Sciences, School of Biomedicine, The University of Adelaide.
2 Supportive Oncology Research Group, Precision Cancer Medicine Theme, South Australian Health and Medical Research Institute, Adelaide, Australia.; Affiliations
          

1 Faculty of Health and Medical Sciences, School of Biomedicine, The University of Adelaide.
2 Supportive Oncology Research Group, Precision Cancer Medicine Theme, South Australian Health and Medical Research Institute, Adelaide, Australia.",,2024 Apr 23.
oncology,"Machine Translation for Multilingual Cancer Patient Education: Bridging Languages, Navigating Challenges.",https://pubmed.ncbi.nlm.nih.gov/38652432,"This commentary evaluates the use of machine translation for multilingual patienteducation in oncology. It critically examines the balance between technologicalbenefits in language accessibility and the potential for increasing healthcare disparities.The analysis emphasizes the need for a multidisciplinary approach to translation thatincorporates linguistic accuracy, medical clarity, and cultural relevance. Additionally, ithighlights the ethical considerations of digital literacy and access, underscoring theimportance of equitable patient education. This contribution seeks to advance thediscussion on the thoughtful integration of technology in healthcare communication,focusing on maintaining high standards of equity, quality, and patient care.","Affiliations
          

1 Department of Neurosurgery, Jena University Hospital - Friedrich Schiller University Jena, Jena, Germany. aaron.lawsonmclean@med.uni-jena.de.
2 Comprehensive Cancer Center Central Germany, Jena, Germany. aaron.lawsonmclean@med.uni-jena.de.
3 Department of Education, China Medical University Hospital, Taichung, Taiwan.
4 School of Medicine, College of Medicine, China Medical University, Taichung, Taiwan.; Affiliations
          

1 Department of Neurosurgery, Jena University Hospital - Friedrich Schiller University Jena, Jena, Germany. aaron.lawsonmclean@med.uni-jena.de.
2 Comprehensive Cancer Center Central Germany, Jena, Germany. aaron.lawsonmclean@med.uni-jena.de.
3 Department of Education, China Medical University Hospital, Taichung, Taiwan.
4 School of Medicine, College of Medicine, China Medical University, Taichung, Taiwan.",,2024 Apr 23.
oncology,Antibody Drug Conjugates in Urological Cancers: A Review of the Current Landscape.,https://pubmed.ncbi.nlm.nih.gov/38652426,"Purpose of review:
        
      
      Our review delves into the progress across urological malignancies and discusses ongoing challenges and future directions in antibody-drug conjugate (ADC) development, emphasising their transformative potential in cancer care.
    


          Recent findings:
        
      
      ADCs have advanced from hematologic to solid tumours, notably in breast cancer, and are now pivotal in metastatic urological cancers as both monotherapies and in combination regimens, underscored by the FDA's approval of enfortumab vedotin and sacituzumab govitecan for metastatic urothelial cancer. Progress in metastatic prostate cancer, particularly with ADCs targeting PSMA and STEAP1, is noteworthy, although renal cell cancer presents ongoing challenges. There is a continual search for agents in the metastatic, relapsed testicular cancer landscape. ADCs have emerged as a pivotal innovation in oncology, blending targeted antibody therapy with potent cytotoxic drugs, significantly advancing treatment options for urological malignancies.","Affiliations
          

1 Department of Medical Oncology, Barts Cancer Centre, St Bartholomew's Hospital, Barts Health NHS Trust, London, UK.
2 Department of Medical Oncology, Medway NHS Foundation Trust, Kent, UK.
3 Department of Medical Oncology, Mount Vernon Cancer Centre, Mount Vernon and Watford NHS Trust, Watford, UK.
4 Hertfordshire and Bedfordshire Urological Cancer Centre, Department of Urology, Lister Hospital, East and North Herts NHS Trust, Stevenage, UK.
5 Immuno-Oncology Clinical Network, London, UK.
6 The Meet-URO Group, Italian Network for Research in Uro-Oncology, Milan, Italy.
7 British Oncology Network for Undergraduate Societies, London, UK.
8 United Kingdom and Ireland Global Cancer Network, London, UK.
9 School of Medical Sciences, University of Manchester, Manchester, UK.
10 UCL Cancer Institute, University College London, London, UK.
11 Division of Genetics and Epidemiology, Institute of Cancer Research, Surrey, UK.
12 University College London Medical School, London, UK.
13 University College London Oncology Society, London, UK.
14 Worcestershire Oncology Centre, Worcestershire Acute Hospitals NHS Trust, Worcester, UK.
15 British Oncology Pharmacy Association, London, UK.
16 Cancer Academic Sciences Unit, University of Southampton, University Hospital Southampton NHS Foundation Trust, Southampton, UK.
17 School of Cancer and Pharmaceutical Sciences, Faculty of Life Sciences and Medicine, King's College London, London, UK.
18 Faculty of Medicine, Health and Social Care, Canterbury Christ Church University, Canterbury, UK.
19 Kent and Medway Medical School, University of Kent, Canterbury, UK.
20 AELIA Organisation, 9Th Km Thessaloniki - Thermi, 57001, Thessaloniki, Greece.
21 Department of Oncology, University Hospitals of Derby and Burton NHS Foundation Trust, Derby, UK.
22 School of Medicine, University of Nottingham, Nottingham, UK.
23 School of Life and Medical Sciences, University of Hertfordshire, Hatfield, UK.
24 Apollo Hospitals Educational and Research Foundation (AHERF), Chennai, India.
25 Medical Oncology Unit, Ospedale San Paolo, Savona, Italy.
26 Department of Internal Medicine and Medical Specialties, University of Genoa, Genoa, Italy.
27 Department of Medical Oncology, Ankara University School of Medicine, Ankara, Turkey.
28 Ankara University Cancer Research Institute, Ankara, Turkey.
29 Division of Medical Oncology, National Cancer Centre Singapore, Singapore, Singapore.
30 Duke-NUS Medical School, SingHealth Duke-NUS Oncology Academic Clinical Programme, Singapore, Singapore.
31 Department of Medical Oncology, Portsmouth Hospitals University NHS Trust, Portsmouth, UK. Akash.Maniam@porthosp.nhs.uk.
32 Faculty of Science and Health, School of Pharmacy and Biomedical Sciences, University of Portsmouth, Portsmouth, UK. Akash.Maniam@porthosp.nhs.uk.
33 Caribbean Cancer Research Institute, Port of Spain, Trinidad and Tobago. Akash.Maniam@porthosp.nhs.uk.
34 Department of Medical Oncology, Portsmouth Hospitals University NHS Trust, Portsmouth, UK.
35 Faculty of Science and Health, School of Pharmacy and Biomedical Sciences, University of Portsmouth, Portsmouth, UK.; Affiliations
          

1 Department of Medical Oncology, Barts Cancer Centre, St Bartholomew's Hospital, Barts Health NHS Trust, London, UK.
2 Department of Medical Oncology, Medway NHS Foundation Trust, Kent, UK.
3 Department of Medical Oncology, Mount Vernon Cancer Centre, Mount Vernon and Watford NHS Trust, Watford, UK.
4 Hertfordshire and Bedfordshire Urological Cancer Centre, Department of Urology, Lister Hospital, East and North Herts NHS Trust, Stevenage, UK.
5 Immuno-Oncology Clinical Network, London, UK.
6 The Meet-URO Group, Italian Network for Research in Uro-Oncology, Milan, Italy.
7 British Oncology Network for Undergraduate Societies, London, UK.
8 United Kingdom and Ireland Global Cancer Network, London, UK.
9 School of Medical Sciences, University of Manchester, Manchester, UK.
10 UCL Cancer Institute, University College London, London, UK.
11 Division of Genetics and Epidemiology, Institute of Cancer Research, Surrey, UK.
12 University College London Medical School, London, UK.
13 University College London Oncology Society, London, UK.
14 Worcestershire Oncology Centre, Worcestershire Acute Hospitals NHS Trust, Worcester, UK.
15 British Oncology Pharmacy Association, London, UK.
16 Cancer Academic Sciences Unit, University of Southampton, University Hospital Southampton NHS Foundation Trust, Southampton, UK.
17 School of Cancer and Pharmaceutical Sciences, Faculty of Life Sciences and Medicine, King's College London, London, UK.
18 Faculty of Medicine, Health and Social Care, Canterbury Christ Church University, Canterbury, UK.
19 Kent and Medway Medical School, University of Kent, Canterbury, UK.
20 AELIA Organisation, 9Th Km Thessaloniki - Thermi, 57001, Thessaloniki, Greece.
21 Department of Oncology, University Hospitals of Derby and Burton NHS Foundation Trust, Derby, UK.
22 School of Medicine, University of Nottingham, Nottingham, UK.
23 School of Life and Medical Sciences, University of Hertfordshire, Hatfield, UK.
24 Apollo Hospitals Educational and Research Foundation (AHERF), Chennai, India.
25 Medical Oncology Unit, Ospedale San Paolo, Savona, Italy.
26 Department of Internal Medicine and Medical Specialties, University of Genoa, Genoa, Italy.
27 Department of Medical Oncology, Ankara University School of Medicine, Ankara, Turkey.
28 Ankara University Cancer Research Institute, Ankara, Turkey.
29 Division of Medical Oncology, National Cancer Centre Singapore, Singapore, Singapore.
30 Duke-NUS Medical School, SingHealth Duke-NUS Oncology Academic Clinical Programme, Singapore, Singapore.
31 Department of Medical Oncology, Portsmouth Hospitals University NHS Trust, Portsmouth, UK. Akash.Maniam@porthosp.nhs.uk.
32 Faculty of Science and Health, School of Pharmacy and Biomedical Sciences, University of Portsmouth, Portsmouth, UK. Akash.Maniam@porthosp.nhs.uk.
33 Caribbean Cancer Research Institute, Port of Spain, Trinidad and Tobago. Akash.Maniam@porthosp.nhs.uk.
34 Department of Medical Oncology, Portsmouth Hospitals University NHS Trust, Portsmouth, UK.
35 Faculty of Science and Health, School of Pharmacy and Biomedical Sciences, University of Portsmouth, Portsmouth, UK.",,2024 Apr 23.
oncology,Navigating Breast Cancer Oligometastasis and Oligoprogression: Current Landscape and Future Directions.,https://pubmed.ncbi.nlm.nih.gov/38652425,"Purpose:
        
      
      We examine the potential for curative approaches among metastatic breast cancer (MBC) patients by exploring the recent literature on local ablative therapies like surgery and stereotactic body radiation therapy (SBRT) in patients with oligometastatic (OM) breast cancer. We also cover therapies for MBC patients with oligoprogressive (OP) disease.
    


          Key findings:
        
      
      Surgery and SBRT have been studied for OM and OP breast cancer, mainly in retrospective or non-randomized trials. While many studies demonstrated favorable results, a cooperative study and single-institution trial found no support for surgery/SBRT in OM and OP cases, respectively.
    


          Conclusion:
        
      
      While there is interest in applying local therapies to OM and OP breast cancer, the current randomized data does not back the routine use of surgery or SBRT, particularly when considering the potential for treatment-related toxicities. Future research should refine patient selection through advanced imaging and possibly explore these therapies specifically in patients with hormone receptor-positive or HER2-positive disease.","Affiliations
          

1 Department of Radiation Oncology, City of Hope Comprehensive Cancer Center, 1500 E. Duarte Road, Duarte, CA, 91010, USA.
2 Department of Radiation Oncology, City of Hope Comprehensive Cancer Center, 1500 E. Duarte Road, Duarte, CA, 91010, USA. jbazan@coh.org.; Affiliations
          

1 Department of Radiation Oncology, City of Hope Comprehensive Cancer Center, 1500 E. Duarte Road, Duarte, CA, 91010, USA.
2 Department of Radiation Oncology, City of Hope Comprehensive Cancer Center, 1500 E. Duarte Road, Duarte, CA, 91010, USA. jbazan@coh.org.",,2024 Apr 23.
oncology,"The Growing Role of Digital Health Tools in the Care of Patients with Cancer: Current Use, Future Opportunities, and Barriers to Effective Implementation.",https://pubmed.ncbi.nlm.nih.gov/38652424,"Purpose of review:
        
      
      This article aims to describe the ways in which digital health technologies are currently being used to improve the delivery of cancer care, highlight opportunities to expand their use, and discuss barriers to effective and equitable implementation.
    


          Recent findings:
        
      
      The utilization of digital health tools and development of novel care delivery models that leverage such tools is expanding. Recent studies have shown feasibility and increased implementation in the setting of oncologic care. With technological advances and key policy changes, utilization of digital health tools has greatly increased over the past two decades and transformed how cancer care is delivered. As digital health tools are expanded and refined, there is potential for improved access to and quality and efficiency of cancer care. However, careful consideration should be given to key barriers of digital health tool adoption, such as infrastructural, patient-level, and health systems-level challenges, to ensure equitable access to care and improvement in health outcomes.","Affiliations
          

1 Department of Medicine, Mayo Clinic, Rochester, MN, USA.
2 Division of Hematology, Mayo Clinic, Rochester, MN, USA.
3 Department of Oncology, Mayo Clinic, Rochester, MN, USA.
4 Center for Digital Health, Mayo Clinic, Rochester, USA.
5 Division of Hematology, Mayo Clinic, Rochester, MN, USA. Pritchett.Joshua@mayo.edu.
6 Department of Oncology, Mayo Clinic, Rochester, MN, USA. Pritchett.Joshua@mayo.edu.
7 Kern Center for the Science of Health Care Delivery, Mayo Clinic, 200 First St. SW, Rochester, MN, 55905, USA. Pritchett.Joshua@mayo.edu.; Affiliations
          

1 Department of Medicine, Mayo Clinic, Rochester, MN, USA.
2 Division of Hematology, Mayo Clinic, Rochester, MN, USA.
3 Department of Oncology, Mayo Clinic, Rochester, MN, USA.
4 Center for Digital Health, Mayo Clinic, Rochester, USA.
5 Division of Hematology, Mayo Clinic, Rochester, MN, USA. Pritchett.Joshua@mayo.edu.
6 Department of Oncology, Mayo Clinic, Rochester, MN, USA. Pritchett.Joshua@mayo.edu.
7 Kern Center for the Science of Health Care Delivery, Mayo Clinic, 200 First St. SW, Rochester, MN, 55905, USA. Pritchett.Joshua@mayo.edu.",,2024 Apr 23.
